# run-1789252085.jsonl: device,seconds_since_applied_step,primary_group_ma_c
cpu,84.041399055,75.016666666667
cpu,85.044065382,75.066666666667
cpu,86.044288513,75.116666666667
cpu,87.044527152,75.166666666667
cpu,88.045024805,75.216666666667
cpu,89.045256943,75.266666666667
cpu,90.045487979,75.316666666667
cpu,91.045717141,75.350000000000
cpu,92.047752982,75.383333333333
cpu,93.048554762,75.416666666667
cpu,94.048745633,75.450000000000
cpu,95.048971349,75.466666666667
cpu,96.049190722,75.500000000000
cpu,97.049418342,75.516666666667
cpu,98.049653465,75.533333333333
cpu,99.049888468,75.550000000000
cpu,100.050117690,75.566666666667
cpu,101.050335922,75.583333333333
cpu,102.050559664,75.600000000000
cpu,103.050756336,75.616666666667
cpu,104.050984777,75.633333333333
cpu,105.052438803,75.650000000000
cpu,106.053694620,75.666666666667
cpu,107.053922169,75.683333333333
cpu,108.054864100,75.700000000000
cpu,109.055091399,75.716666666667
cpu,110.055325220,75.733333333333
cpu,111.056845720,75.750000000000
cpu,112.057079831,75.766666666667
cpu,113.058755350,75.783333333333
cpu,114.058988851,75.800000000000
cpu,115.059211761,75.800000000000
cpu,116.059436906,75.800000000000
cpu,117.062461821,75.800000000000
cpu,118.063588567,75.800000000000
cpu,119.063815826,75.800000000000
cpu,120.064045890,75.800000000000
cpu,121.065746977,75.816666666667
cpu,122.065986098,75.816666666667
cpu,123.066228885,75.816666666667
cpu,124.066458017,75.816666666667
cpu,125.067571939,75.816666666667
cpu,126.067814026,75.816666666667
cpu,127.068044140,75.816666666667
cpu,128.068281737,75.816666666667
cpu,129.068520527,75.816666666667
cpu,130.068763404,75.816666666667
cpu,131.069315689,75.816666666667
cpu,132.069552215,75.833333333333
cpu,133.069746612,75.850000000000
cpu,134.070482099,75.850000000000
cpu,135.070717533,75.850000000000
cpu,136.070913523,75.850000000000
cpu,137.072139223,75.850000000000
cpu,138.072386800,75.850000000000
cpu,139.072617194,75.850000000000
cpu,140.072846246,75.833333333333
cpu,141.073066382,75.816666666667
cpu,142.073306044,75.800000000000
cpu,143.073540135,75.783333333333
cpu,144.073754109,75.766666666667
cpu,145.073984834,75.750000000000
cpu,146.080497954,75.733333333333
cpu,147.080718440,75.733333333333
cpu,148.082417613,75.733333333333
cpu,149.086911648,75.733333333333
cpu,150.087154827,75.733333333333
cpu,151.089994827,75.733333333333
cpu,152.090280395,75.733333333333
cpu,153.090504437,75.733333333333
cpu,154.092752064,75.733333333333
cpu,155.092974834,75.733333333333
cpu,156.095702495,75.733333333333
cpu,157.097504650,75.733333333333
cpu,158.097744773,75.733333333333
cpu,159.097968495,75.733333333333
cpu,160.098185956,75.733333333333
cpu,161.098407213,75.733333333333
cpu,162.098995866,75.733333333333
cpu,163.099268048,75.733333333333
cpu,164.099492702,75.733333333333
cpu,165.099818314,75.733333333333
cpu,166.100052716,75.733333333333
cpu,167.100283220,75.733333333333
cpu,168.101175449,75.733333333333
cpu,169.102108254,75.733333333333
cpu,170.104574277,75.733333333333
cpu,171.104756902,75.733333333333
cpu,172.104991685,75.733333333333
cpu,173.105219975,75.733333333333
cpu,174.105445741,75.733333333333
cpu,175.105663803,75.733333333333
cpu,176.106984090,75.733333333333
cpu,177.107413906,75.733333333333
cpu,178.107651715,75.716666666667
cpu,179.107880995,75.700000000000
cpu,180.108117531,75.683333333333
cpu,181.108353927,75.666666666667
cpu,182.108578911,75.666666666667
cpu,183.108812432,75.666666666667
cpu,184.109047084,75.666666666667
cpu,185.109282498,75.683333333333
cpu,186.109513574,75.700000000000
